# Type                      | Price  | Qty  | Rar  | Sells  | Buys   | World             | Category            | Material            | Market
---------------------------------------------------------------------------------------------------------------------------------------------
AbbatoirDeed              |    440 |    0 |    0 | false  | false  | World.None        | Category.None       | Material.None       | Market.Butcher
InvulnerabilityPotion     |   1200 |    0 |    0 | false  | false  | World.None        | Category.Potion     | Material.None       | Market.Alchemy
TransmutationPotion       |   1000 |    0 |  101 | false  | false  | World.None        | Category.Potion     | Material.None       | Market.Alchemy
SuperPotion               |   1000 |    0 |  101 | false  | false  | World.None        | Category.Potion     | Material.None       | Market.Alchemy
ResurrectPotion           |    210 |    0 |  101 | false  | false  | World.None        | Category.Potion     | Material.None       | Market.Alchemy
RepairPotion              |     60 |    5 |  101 | false  | false  | World.None        | Category.Potion     | Material.None       | Market.Alchemy
DurabilityPotion          |     60 |    1 |  101 | false  | false  | World.None        | Category.Potion     | Material.None       | Market.Alchemy
AlienEgg                  |   2000 |    0 |    0 | false  | false  | World.None        | Category.Rare       | Material.None       | Market.Stable
AlternateRealityMap       |   2000 |    0 |    0 | false  | false  | World.None        | Category.Rare       | Material.None       | Market.Cartographer
JewelryNecklace           |     20 |   15 |    0 | false  | false  | World.None        | Category.None       | Material.None       | Market.Jeweler
AnvilEastDeed             |     52 |    0 |    0 | false  | false  | World.None        | Category.None       | Material.None       | Market.Smith
AnvilSouthDeed            |     52 |    0 |    0 | false  | false  | World.None        | Category.None       | Material.None       | Market.Smith
Apple                     |      3 |   15 |    0 | false  | false  | World.None        | Category.None       | Material.None       | Market.Farmer
AppleBobbingBarrel        |    170 |    3 |   80 | false  | false  | World.None        | Category.None       | Material.None       | Market.Carpenter
ApplePie                  |      7 |   15 |    0 | false  | false  | World.None        | Category.Tavern     | Material.None       | Market.Cook
AppleTreeDeed             |    640 |    2 |   90 | false  | false  | World.None        | Category.None       | Material.None       | Market.Druid
AquariumEastAddonDeed     |   1600 |    1 |   95 | false  | false  | World.None        | Category.Rare       | Material.None       | Market.Fisherman
AquariumSouthAddonDeed    |   1600 |    1 |   95 | false  | false  | World.None        | Category.Rare       | Material.None       | Market.Fisherman
ArcaneGem                 |     20 |    0 |    0 | false  | false  | World.None        | Category.None       | Material.None       | Market.Mage
ArcherQuiver              |     32 |    5 |    0 | false  | false  | World.None        | Category.None       | Material.None       | Market.Bow,Market.Ranger
MagicQuiver               |     50 |    5 |    0 | false  | false  | World.None        | Category.None       | Material.None       | Market.Bow,Market.Ranger
ArchmageRobe              |     40 |    5 |    0 | false  | false  | World.None        | Category.None       | Material.Cloth      | Market.Wizard
JewelryRing               |     20 |   15 |    0 | false  | false  | World.None        | Category.None       | Material.None       | Market.Jeweler
Armoire                   |    176 |    1 |   90 | false  | false  | World.None        | Category.None       | Material.None       | Market.Carpenter
DDRelicArmor              |      1 |    0 |  200 | false  | false  | World.None        | Category.Armor      | Material.Metal      | Market.Smith
ArmsCrate                 |    400 |    5 |   75 | false  | false  | World.None        | Category.None       | Material.None       | Market.Smith
Arrow                     |      2 |   15 |    0 | false  | false  | World.None        | Category.Resource   | Material.None       | Market.Bow
DDRelicArts               |      1 |    0 |  200 | false  | false  | World.None        | Category.None       | Material.None       | Market.Art
Artifact_AbysmalGloves    |   5000 |    0 |    0 | false  | false  | World.None        | Category.Artifact   | Material.None       | Market.None
Artifact_AchillesShield   |   5000 |    0 |    0 | false  | false  | World.None        | Category.Artifact   | Material.None       | Market.None
Artifact_AchillesSpear    |   5000 |    0 |    0 | false  | false  | World.None        | Category.Artifact   | Material.None       | Market.None
Artifact_AcidProofRobe    |   5000 |    0 |    0 | false  | false  | World.None        | Category.Artifact   | Material.None       | Market.None
Artifact_Aegis            |   5000 |    0 |    0 | false  | false  | World.None        | Category.Artifact   | Material.None       | Market.None
Artifact_AegisOfGrace     |   5000 |    0 |    0 | false  | false  | World.None        | Category.Artifact   | Material.None       | Market.None
Artifact_AilricsLongbow   |   5000 |    0 |    0 | false  | false  | World.None        | Category.Artifact   | Material.None       | Market.None
Artifact_AlchemistsBauble |   5000 |    0 |    0 | false  | false  | World.None        | Category.Artifact   | Material.None       | Market.None
Artifact_ANecromancerShroud |   5000 |    0 |    0 | false  | false  | World.None        | Category.Artifact   | Material.None       | Market.None
Artifact_AngelicEmbrace   |   5000 |    0 |    0 | false  | false  | World.None        | Category.Artifact   | Material.None       | Market.None
Artifact_AngeroftheGods   |   5000 |    0 |    0 | false  | false  | World.None        | Category.Artifact   | Material.None       | Market.None
Artifact_Annihilation     |   5000 |    0 |    0 | false  | false  | World.None        | Category.Artifact   | Material.None       | Market.None
Artifact_ArcaneArms       |   5000 |    0 |    0 | false  | false  | World.None        | Category.Artifact   | Material.None       | Market.None
Artifact_ArcaneCap        |   5000 |    0 |    0 | false  | false  | World.None        | Category.Artifact   | Material.None       | Market.None
Artifact_ArcaneGloves     |   5000 |    0 |    0 | false  | false  | World.None        | Category.Artifact   | Material.None       | Market.None
Artifact_ArcaneGorget     |   5000 |    0 |    0 | false  | false  | World.None        | Category.Artifact   | Material.None       | Market.None
Artifact_ArcaneLeggings   |   5000 |    0 |    0 | false  | false  | World.None        | Category.Artifact   | Material.None       | Market.None
Artifact_ArcaneShield     |   5000 |    0 |    0 | false  | false  | World.None        | Category.Artifact   | Material.None       | Market.None
Artifact_ArcaneTunic      |   5000 |    0 |    0 | false  | false  | World.None        | Category.Artifact   | Material.None       | Market.None
Artifact_ArcanicRobe      |   5000 |    0 |    0 | false  | false  | World.None        | Category.Artifact   | Material.None       | Market.None
Artifact_ArcticBeacon     |   5000 |    0 |    0 | false  | false  | World.None        | Category.Artifact   | Material.None       | Market.None
Artifact_ArcticDeathDealer |   5000 |    0 |    0 | false  | false  | World.None        | Category.Artifact   | Material.None       | Market.None
Artifact_ArmorOfFortune   |   5000 |    0 |    0 | false  | false  | World.None        | Category.Artifact   | Material.None       | Market.None
Artifact_ArmorOfInsight   |   5000 |    0 |    0 | false  | false  | World.None        | Category.Artifact   | Material.None       | Market.None
Artifact_ArmorOfNobility  |   5000 |    0 |    0 | false  | false  | World.None        | Category.Artifact   | Material.None       | Market.None
Artifact_ArmsOfAegis      |   5000 |    0 |    0 | false  | false  | World.None        | Category.Artifact   | Material.None       | Market.None
Artifact_ArmsOfFortune    |   5000 |    0 |    0 | false  | false  | World.None        | Category.Artifact   | Material.None       | Market.None
Artifact_ArmsOfInsight    |   5000 |    0 |    0 | false  | false  | World.None        | Category.Artifact   | Material.None       | Market.None
Artifact_ArmsOfNobility   |   5000 |    0 |    0 | false  | false  | World.None        | Category.Artifact   | Material.None       | Market.None
Artifact_ArmsOfTheFallenKing |   5000 |    0 |    0 | false  | false  | World.None        | Category.Artifact   | Material.None       | Market.None
Artifact_ArmsOfTheHarrower |   5000 |    0 |    0 | false  | false  | World.None        | Category.Artifact   | Material.None       | Market.None
Artifact_ArmsOfToxicity   |   5000 |    0 |    0 | false  | false  | World.None        | Category.Artifact   | Material.None       | Market.None
Artifact_AuraOfShadows    |   5000 |    0 |    0 | false  | false  | World.None        | Category.Artifact   | Material.None       | Market.None
Artifact_AxeOfTheHeavens  |   5000 |    0 |    0 | false  | false  | World.None        | Category.Artifact   | Material.None       | Market.None
Artifact_AxeoftheMinotaur |   5000 |    0 |    0 | false  | false  | World.None        | Category.Artifact   | Material.None       | Market.None
Artifact_BeggarsRobe      |   5000 |    0 |    0 | false  | false  | World.None        | Category.Artifact   | Material.None       | Market.None
Artifact_BelmontWhip      |   5000 |    0 |    0 | false  | false  | World.None        | Category.Artifact   | Material.None       | Market.None
Artifact_BeltofHercules   |   5000 |    0 |    0 | false  | false  | World.None        | Category.Artifact   | Material.None       | Market.None
Artifact_BladeDance       |   5000 |    0 |    0 | false  | false  | World.None        | Category.Artifact   | Material.None       | Market.None
Artifact_BladeOfInsanity  |   5000 |    0 |    0 | false  | false  | World.None        | Category.Artifact   | Material.None       | Market.None
Artifact_BladeOfTheRighteous |   5000 |    0 |    0 | false  | false  | World.None        | Category.Artifact   | Material.None       | Market.None
Artifact_BlazeOfDeath     |   5000 |    0 |    0 | false  | false  | World.None        | Category.Artifact   | Material.None       | Market.None
Artifact_BlightGrippedLongbow |   5000 |    0 |    0 | false  | false  | World.None        | Category.Artifact   | Material.None       | Market.None
Artifact_BloodwoodSpirit  |   5000 |    0 |    0 | false  | false  | World.None        | Category.Artifact   | Material.None       | Market.None
Artifact_BoneCrusher      |   5000 |    0 |    0 | false  | false  | World.None        | Category.Artifact   | Material.None       | Market.None
Artifact_Bonesmasher      |   5000 |    0 |    0 | false  | false  | World.None        | Category.Artifact   | Material.None       | Market.None
Artifact_BookOfKnowledge  |   5000 |    0 |    0 | false  | false  | World.None        | Category.Artifact   | Material.None       | Market.None
Artifact_Boomstick        |   5000 |    0 |    0 | false  | false  | World.None        | Category.Artifact   | Material.None       | Market.None
Artifact_BootsofHermes    |   5000 |    0 |    0 | false  | false  | World.None        | Category.Artifact   | Material.None       | Market.None
Artifact_BootsofHydros    |   5000 |    0 |    0 | false  | false  | World.None        | Category.Artifact   | Material.None       | Market.None
Artifact_BootsofLithos    |   5000 |    0 |    0 | false  | false  | World.None        | Category.Artifact   | Material.None       | Market.None
Artifact_BootsofPyros     |   5000 |    0 |    0 | false  | false  | World.None        | Category.Artifact   | Material.None       | Market.None
Artifact_BootsofStratos   |   5000 |    0 |    0 | false  | false  | World.None        | Category.Artifact   | Material.None       | Market.None
Artifact_BowOfTheJukaKing |   5000 |    0 |    0 | false  | false  | World.None        | Category.Artifact   | Material.None       | Market.None
Artifact_BowofthePhoenix  |   5000 |    0 |    0 | false  | false  | World.None        | Category.Artifact   | Material.None       | Market.None
Artifact_BraceletOfHealth |   5000 |    0 |    0 | false  | false  | World.None        | Category.Artifact   | Material.None       | Market.None
Artifact_BraceletOfTheElements |   5000 |    0 |    0 | false  | false  | World.None        | Category.Artifact   | Material.None       | Market.None
Artifact_BraceletOfTheVile |   5000 |    0 |    0 | false  | false  | World.None        | Category.Artifact   | Material.None       | Market.None
Artifact_BrambleCoat      |   5000 |    0 |    0 | false  | false  | World.None        | Category.Artifact   | Material.None       | Market.None
Artifact_BraveKnightOfTheBritannia |   5000 |    0 |    0 | false  | false  | World.None        | Category.Artifact   | Material.None       | Market.None
Artifact_BreathOfTheDead  |   5000 |    0 |    0 | false  | false  | World.None        | Category.Artifact   | Material.None       | Market.None
Artifact_BurglarsBandana  |   5000 |    0 |    0 | false  | false  | World.None        | Category.Artifact   | Material.None       | Market.None
Artifact_Calm             |   5000 |    0 |    0 | false  | false  | World.None        | Category.Artifact   | Material.None       | Market.None
Artifact_CandleCold       |   5000 |    0 |    0 | false  | false  | World.None        | Category.Artifact   | Material.None       | Market.None
Artifact_CandleEnergy     |   5000 |    0 |    0 | false  | false  | World.None        | Category.Artifact   | Material.None       | Market.None
Artifact_CandleFire       |   5000 |    0 |    0 | false  | false  | World.None        | Category.Artifact   | Material.None       | Market.None
Artifact_CandleNecromancer |   5000 |    0 |    0 | false  | false  | World.None        | Category.Artifact   | Material.None       | Market.None
Artifact_CandlePoison     |   5000 |    0 |    0 | false  | false  | World.None        | Category.Artifact   | Material.None       | Market.None
Artifact_CandleWizard     |   5000 |    0 |    0 | false  | false  | World.None        | Category.Artifact   | Material.None       | Market.None
Artifact_CapOfFortune     |   5000 |    0 |    0 | false  | false  | World.None        | Category.Artifact   | Material.None       | Market.None
Artifact_CapOfTheFallenKing |   5000 |    0 |    0 | false  | false  | World.None        | Category.Artifact   | Material.None       | Market.None
Artifact_CaptainJohnsHat  |   5000 |    0 |    0 | false  | false  | World.None        | Category.Artifact   | Material.None       | Market.None
Artifact_CaptainQuacklebushsCutlass |   5000 |    0 |    0 | false  | false  | World.None        | Category.Artifact   | Material.None       | Market.None
Artifact_CavortingClub    |   5000 |    0 |    0 | false  | false  | World.None        | Category.Artifact   | Material.None       | Market.None
Artifact_CircletOfTheSorceress |   5000 |    0 |    0 | false  | false  | World.None        | Category.Artifact   | Material.None       | Market.None
Artifact_CoifOfBane       |   5000 |    0 |    0 | false  | false  | World.None        | Category.Artifact   | Material.None       | Market.None
Artifact_CoifOfFire       |   5000 |    0 |    0 | false  | false  | World.None        | Category.Artifact   | Material.None       | Market.None
Artifact_ColdBlood        |   5000 |    0 |    0 | false  | false  | World.None        | Category.Artifact   | Material.None       | Market.None
Artifact_ColdForgedBlade  |   5000 |    0 |    0 | false  | false  | World.None        | Category.Artifact   | Material.None       | Market.None
Artifact_ConansHelm       |   5000 |    0 |    0 | false  | false  | World.None        | Category.Artifact   | Material.None       | Market.None
Artifact_ConansLoinCloth  |   5000 |    0 |    0 | false  | false  | World.None        | Category.Artifact   | Material.None       | Market.None
Artifact_ConansSword      |   5000 |    0 |    0 | false  | false  | World.None        | Category.Artifact   | Material.None       | Market.None
Artifact_CrimsonCincture  |   5000 |    0 |    0 | false  | false  | World.None        | Category.Artifact   | Material.None       | Market.None
Artifact_CrownOfTalKeesh  |   5000 |    0 |    0 | false  | false  | World.None        | Category.Artifact   | Material.None       | Market.None
Artifact_DaggerOfVenom    |   5000 |    0 |    0 | false  | false  | World.None        | Category.Artifact   | Material.None       | Market.None
Artifact_DarkGuardiansChest |   5000 |    0 |    0 | false  | false  | World.None        | Category.Artifact   | Material.None       | Market.None
Artifact_DarkLordsPitchfork |   5000 |    0 |    0 | false  | false  | World.None        | Category.Artifact   | Material.None       | Market.None
Artifact_DarkNeck         |   5000 |    0 |    0 | false  | false  | World.None        | Category.Artifact   | Material.None       | Market.None
Artifact_DeathsMask       |   5000 |    0 |    0 | false  | false  | World.None        | Category.Artifact   | Material.None       | Market.None
Artifact_DetectiveBoots   |   5000 |    0 |    0 | false  | false  | World.None        | Category.Artifact   | Material.None       | Market.None
Artifact_DivineArms       |   5000 |    0 |    0 | false  | false  | World.None        | Category.Artifact   | Material.None       | Market.None
Artifact_DivineCountenance |   5000 |    0 |    0 | false  | false  | World.None        | Category.Artifact   | Material.None       | Market.None
Artifact_DivineGloves     |   5000 |    0 |    0 | false  | false  | World.None        | Category.Artifact   | Material.None       | Market.None
Artifact_DivineGorget     |   5000 |    0 |    0 | false  | false  | World.None        | Category.Artifact   | Material.None       | Market.None
Artifact_DivineLeggings   |   5000 |    0 |    0 | false  | false  | World.None        | Category.Artifact   | Material.None       | Market.None
Artifact_DivineTunic      |   5000 |    0 |    0 | false  | false  | World.None        | Category.Artifact   | Material.None       | Market.None
Artifact_DjinnisRing      |   5000 |    0 |    0 | false  | false  | World.None        | Category.Artifact   | Material.None       | Market.None
Artifact_DreadPirateHat   |   5000 |    0 |    0 | false  | false  | World.None        | Category.Artifact   | Material.None       | Market.None
Artifact_DupresCollar     |   5000 |    0 |    0 | false  | false  | World.None        | Category.Artifact   | Material.None       | Market.None
Artifact_DupresShield     |   5000 |    0 |    0 | false  | false  | World.None        | Category.Artifact   | Material.None       | Market.None
Artifact_EarringsOfHealth |   5000 |    0 |    0 | false  | false  | World.None        | Category.Artifact   | Material.None       | Market.None
Artifact_EarringsOfTheElements |   5000 |    0 |    0 | false  | false  | World.None        | Category.Artifact   | Material.None       | Market.None
Artifact_EarringsOfTheMagician |   5000 |    0 |    0 | false  | false  | World.None        | Category.Artifact   | Material.None       | Market.None
Artifact_EarringsOfTheVile |   5000 |    0 |    0 | false  | false  | World.None        | Category.Artifact   | Material.None       | Market.None
Artifact_EmbroideredOakLeafCloak |   5000 |    0 |    0 | false  | false  | World.None        | Category.Artifact   | Material.None       | Market.None
Artifact_EnchantedTitanLegBone |   5000 |    0 |    0 | false  | false  | World.None        | Category.Artifact   | Material.None       | Market.None
Artifact_EssenceOfBattle  |   5000 |    0 |    0 | false  | false  | World.None        | Category.Artifact   | Material.None       | Market.None
Artifact_EternalFlame     |   5000 |    0 |    0 | false  | false  | World.None        | Category.Artifact   | Material.None       | Market.None
Artifact_EvilMageGloves   |   5000 |    0 |    0 | false  | false  | World.None        | Category.Artifact   | Material.None       | Market.None
Artifact_Excalibur        |   5000 |    0 |    0 | false  | false  | World.None        | Category.Artifact   | Material.None       | Market.None
Artifact_FalseGodsScepter |   5000 |    0 |    0 | false  | false  | World.None        | Category.Artifact   | Material.None       | Market.None
Artifact_FangOfRactus     |   5000 |    0 |    0 | false  | false  | World.None        | Category.Artifact   | Material.None       | Market.None
Artifact_FesteringWound   |   5000 |    0 |    0 | false  | false  | World.None        | Category.Artifact   | Material.None       | Market.None
Artifact_FeyLeggings      |   5000 |    0 |    0 | false  | false  | World.None        | Category.Artifact   | Material.None       | Market.None
Artifact_FleshRipper      |   5000 |    0 |    0 | false  | false  | World.None        | Category.Artifact   | Material.None       | Market.None
Artifact_Fortifiedarms    |   5000 |    0 |    0 | false  | false  | World.None        | Category.Artifact   | Material.None       | Market.None
Artifact_FortunateBlades  |   5000 |    0 |    0 | false  | false  | World.None        | Category.Artifact   | Material.None       | Market.None
Artifact_Frostbringer     |   5000 |    0 |    0 | false  | false  | World.None        | Category.Artifact   | Material.None       | Market.None
Artifact_FurCapeOfTheSorceress |   5000 |    0 |    0 | false  | false  | World.None        | Category.Artifact   | Material.None       | Market.None
Artifact_Fury             |   5000 |    0 |    0 | false  | false  | World.None        | Category.Artifact   | Material.None       | Market.None
Artifact_GandalfsHat      |   5000 |    0 |    0 | false  | false  | World.None        | Category.Artifact   | Material.None       | Market.None
Artifact_GandalfsRobe     |   5000 |    0 |    0 | false  | false  | World.None        | Category.Artifact   | Material.None       | Market.None
Artifact_GandalfsStaff    |   5000 |    0 |    0 | false  | false  | World.None        | Category.Artifact   | Material.None       | Market.None
Artifact_GauntletsOfNobility |   5000 |    0 |    0 | false  | false  | World.None        | Category.Artifact   | Material.None       | Market.None
Artifact_GeishasObi       |   5000 |    0 |    0 | false  | false  | World.None        | Category.Artifact   | Material.None       | Market.None
Artifact_GiantBlackjack   |   5000 |    0 |    0 | false  | false  | World.None        | Category.Artifact   | Material.None       | Market.None
Artifact_GladiatorsCollar |   5000 |    0 |    0 | false  | false  | World.None        | Category.Artifact   | Material.None       | Market.None
Artifact_GlassSword       |   5000 |    0 |    0 | false  | false  | World.None        | Category.Artifact   | Material.None       | Market.None
Artifact_GlovesOfAegis    |   5000 |    0 |    0 | false  | false  | World.None        | Category.Artifact   | Material.None       | Market.None
Artifact_GlovesOfCorruption |   5000 |    0 |    0 | false  | false  | World.None        | Category.Artifact   | Material.None       | Market.None
Artifact_GlovesOfDexterity |   5000 |    0 |    0 | false  | false  | World.None        | Category.Artifact   | Material.None       | Market.None
Artifact_GlovesOfFortune  |   5000 |    0 |    0 | false  | false  | World.None        | Category.Artifact   | Material.None       | Market.None
Artifact_GlovesOfInsight  |   5000 |    0 |    0 | false  | false  | World.None        | Category.Artifact   | Material.None       | Market.None
Artifact_GlovesOfRegeneration |   5000 |    0 |    0 | false  | false  | World.None        | Category.Artifact   | Material.None       | Market.None
Artifact_GlovesOfTheFallenKing |   5000 |    0 |    0 | false  | false  | World.None        | Category.Artifact   | Material.None       | Market.None
Artifact_GlovesOfTheHarrower |   5000 |    0 |    0 | false  | false  | World.None        | Category.Artifact   | Material.None       | Market.None
Artifact_GlovesOfThePugilist |   5000 |    0 |    0 | false  | false  | World.None        | Category.Artifact   | Material.None       | Market.None
Artifact_GorgetOfAegis    |   5000 |    0 |    0 | false  | false  | World.None        | Category.Artifact   | Material.None       | Market.None
Artifact_GorgetOfFortune  |   5000 |    0 |    0 | false  | false  | World.None        | Category.Artifact   | Material.None       | Market.None
Artifact_GorgetOfInsight  |   5000 |    0 |    0 | false  | false  | World.None        | Category.Artifact   | Material.None       | Market.None
Artifact_GrayMouserCloak  |   5000 |    0 |    0 | false  | false  | World.None        | Category.Artifact   | Material.None       | Market.None
Artifact_GrimReapersLantern |   5000 |    0 |    0 | false  | false  | World.None        | Category.Artifact   | Material.None       | Market.None
Artifact_GrimReapersMask  |   5000 |    0 |    0 | false  | false  | World.None        | Category.Artifact   | Material.None       | Market.None
Artifact_GrimReapersRobe  |   5000 |    0 |    0 | false  | false  | World.None        | Category.Artifact   | Material.None       | Market.None
Artifact_GrimReapersScythe |   5000 |    0 |    0 | false  | false  | World.None        | Category.Artifact   | Material.None       | Market.None
Artifact_GuantletsOfAnger |   5000 |    0 |    0 | false  | false  | World.None        | Category.Artifact   | Material.None       | Market.None
Artifact_GwennosHarp      |   5000 |    0 |    0 | false  | false  | World.None        | Category.Artifact   | Material.None       | Market.None
Artifact_HammerofThor     |   5000 |    0 |    0 | false  | false  | World.None        | Category.Artifact   | Material.None       | Market.None
Artifact_HatOfTheMagi     |   5000 |    0 |    0 | false  | false  | World.None        | Category.Artifact   | Material.None       | Market.None
Artifact_HeartOfTheLion   |   5000 |    0 |    0 | false  | false  | World.None        | Category.Artifact   | Material.None       | Market.None
Artifact_HellForgedArms   |   5000 |    0 |    0 | false  | false  | World.None        | Category.Artifact   | Material.None       | Market.None
Artifact_HelmOfAegis      |   5000 |    0 |    0 | false  | false  | World.None        | Category.Artifact   | Material.None       | Market.None
Artifact_HelmOfBrilliance |   5000 |    0 |    0 | false  | false  | World.None        | Category.Artifact   | Material.None       | Market.None
Artifact_HelmOfInsight    |   5000 |    0 |    0 | false  | false  | World.None        | Category.Artifact   | Material.None       | Market.None
Artifact_HelmOfSwiftness  |   5000 |    0 |    0 | false  | false  | World.None        | Category.Artifact   | Material.None       | Market.None
Artifact_HolyKnightsArmPlates |   5000 |    0 |    0 | false  | false  | World.None        | Category.Artifact   | Material.None       | Market.None
Artifact_HolyKnightsBreastplate |   5000 |    0 |    0 | false  | false  | World.None        | Category.Artifact   | Material.None       | Market.None
Artifact_HolyKnightsGloves |   5000 |    0 |    0 | false  | false  | World.None        | Category.Artifact   | Material.None       | Market.None
Artifact_HolyKnightsGorget |   5000 |    0 |    0 | false  | false  | World.None        | Category.Artifact   | Material.None       | Market.None
Artifact_HolyKnightsLegging |   5000 |    0 |    0 | false  | false  | World.None        | Category.Artifact   | Material.None       | Market.None
Artifact_HolyKnightsPlateHelm |   5000 |    0 |    0 | false  | false  | World.None        | Category.Artifact   | Material.None       | Market.None
Artifact_HolySword        |   5000 |    0 |    0 | false  | false  | World.None        | Category.Artifact   | Material.None       | Market.None
Artifact_HoodedShroudOfShadows |   5000 |    0 |    0 | false  | false  | World.None        | Category.Artifact   | Material.None       | Market.None
Artifact_HornOfKingTriton |   5000 |    0 |    0 | false  | false  | World.None        | Category.Artifact   | Material.None       | Market.None
